station,valid,tmpc,relh,drct,sknt,mslp,p01m
AMW,2019-01-01 21:53,-9.39,73.31,350.00,5.00,1029.70,0.00
AMW,2019-01-01 22:00,M,M,10.00,4.00,M,M
AMW,2019-01-01 22:10,M,M,350.00,5.00,M,M
AMW,2019-01-01 22:15,M,M,350.00,5.00,M,M
AMW,2019-01-01 22:20,M,M,350.00,6.00,M,M
AMW,2019-01-01 22:25,M,M,350.00,5.00,M,M
AMW,2019-01-01 22:30,M,M,350.00,5.00,M,M
AMW,2019-01-01 22:35,M,M,350.00,4.00,M,M
AMW,2019-01-01 22:40,M,M,340.00,3.00,M,M
AMW,2019-01-01 22:45,M,M,350.00,5.00,M,M
AMW,2019-01-01 22:50,M,M,340.00,4.00,M,M
AMW,2019-01-01 22:53,-10.00,76.92,340.00,3.00,1030.30,0.00
AMW,2019-01-01 22:55,M,M,350.00,3.00,M,M
AMW,2019-01-01 23:00,M,M,340.00,4.00,M,M
AMW,2019-01-01 23:05,M,M,340.00,4.00,M,M
AMW,2019-01-01 23:15,M,M,10.00,5.00,M,M
AMW,2019-01-01 23:20,M,M,10.00,5.00,M,M
AMW,2019-01-01 23:25,M,M,360.00,5.00,M,M
AMW,2019-01-01 23:30,M,M,360.00,6.00,M,M
AMW,2019-01-01 23:35,M,M,350.00,5.00,M,M
AMW,2019-01-01 23:40,M,M,350.00,3.00,M,M
AMW,2019-01-01 23:45,M,M,10.00,3.00,M,M
AMW,2019-01-01 23:50,M,M,10.00,3.00,M,M
AMW,2019-01-01 23:53,-10.61,80.74,360.00,4.00,1029.70,0.00
AMW,2019-01-01 23:55,M,M,360.00,4.00,M,M
AMW,2019-01-02 00:00,M,M,20.00,3.00,M,M
AMW,2019-01-02 00:05,M,M,0.00,0.00,M,M
AMW,2019-01-02 00:10,M,M,0.00,0.00,M,M
AMW,2019-01-02 00:15,M,M,0.00,0.00,M,M
AMW,2019-01-02 00:20,M,M,0.00,0.00,M,M
AMW,2019-01-02 00:25,M,M,0.00,0.00,M,M
AMW,2019-01-02 00:30,M,M,0.00,0.00,M,M
AMW,2019-01-02 00:35,M,M,0.00,0.00,M,M
AMW,2019-01-02 00:40,M,M,0.00,0.00,M,M
AMW,2019-01-02 00:45,M,M,0.00,0.00,M,M
AMW,2019-01-02 00:50,M,M,0.00,0.00,M,M
AMW,2019-01-02 00:53,-10.61,80.74,0.00,0.00,1029.70,0.00
AMW,2019-01-02 00:55,M,M,0.00,0.00,M,M
AMW,2019-01-02 01:00,M,M,0.00,0.00,M,M
AMW,2019-01-02 01:05,M,M,0.00,0.00,M,M
AMW,2019-01-02 01:10,M,M,0.00,0.00,M,M
AMW,2019-01-02 01:15,M,M,0.00,0.00,M,M
AMW,2019-01-02 01:20,M,M,0.00,0.00,M,M
AMW,2019-01-02 01:25,M,M,0.00,0.00,M,M
AMW,2019-01-02 01:30,M,M,290.00,3.00,M,M
AMW,2019-01-02 01:35,M,M,290.00,3.00,M,M
AMW,2019-01-02 01:40,M,M,290.00,3.00,M,M
AMW,2019-01-02 01:45,M,M,260.00,3.00,M,M
AMW,2019-01-02 01:50,M,M,260.00,3.00,M,M
AMW,2019-01-02 01:53,-10.61,80.74,0.00,0.00,1029.50,0.00
AMW,2019-01-02 01:55,M,M,0.00,0.00,M,M
AMW,2019-01-02 02:00,M,M,240.00,3.00,M,M
AMW,2019-01-02 02:05,M,M,250.00,3.00,M,M
AMW,2019-01-02 02:10,M,M,0.00,0.00,M,M
